[2025-04-11T23:43:26.053+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-11T23:43:26.063+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-11T23:43:23.931280+00:00 [queued]>
[2025-04-11T23:43:26.068+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-11T23:43:23.931280+00:00 [queued]>
[2025-04-11T23:43:26.069+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-04-11T23:54:47.318+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/13: https://www.triphobo.com/places/new-york-city-united-states/greenhouse-36
[2025-04-11T23:54:52.728+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/13: https://www.triphobo.com/places/new-york-city-united-states/the-press-lounge
[2025-04-11T23:54:58.093+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/13: https://www.triphobo.com/places/new-york-city-united-states/penthouse-808
[2025-04-11T23:55:03.429+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/13: https://www.triphobo.com/places/new-york-city-united-states/the-slipper-room
[2025-04-11T23:55:08.530+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/13: https://www.triphobo.com/places/new-york-city-united-states/northern-theatre
[2025-04-11T23:55:13.218+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/13: https://www.triphobo.com/places/new-york-city-united-states/alma
[2025-04-11T23:55:19.551+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/13: https://www.triphobo.com/places/new-york-city-united-states/new-york-aquarium
[2025-04-11T23:55:24.497+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/13: https://www.triphobo.com/places/new-york-city-united-states/the-box
[2025-04-11T23:55:29.805+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/13: https://www.triphobo.com/places/new-york-city-united-states/lit-lounge
[2025-04-11T23:55:34.646+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/13: https://www.triphobo.com/places/new-york-city-united-states/white-horse-tavern
[2025-04-11T23:55:40.173+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/13: https://www.triphobo.com/places/new-york-city-united-states/kettle-of-fish
[2025-04-11T23:55:46.172+0000] {things_to_do.py:79} INFO - 📍 Scraping city: Chicago United States
[2025-04-11T23:55:46.173+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 1: https://www.triphobo.com/places/chicago-united-states/things-to-do?page=1
[2025-04-11T23:55:51.004+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:55:51.005+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/chicago-united-states/the-art-institute-of-chicago
[2025-04-11T23:55:54.803+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/chicago-united-states/millennium-park
[2025-04-11T23:55:58.672+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/chicago-united-states/willis-tower
[2025-04-11T23:56:05.283+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/chicago-united-states/michigan-avenue
[2025-04-11T23:56:11.413+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/chicago-united-states/museum-of-science-and-industry
[2025-04-11T23:56:16.025+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/chicago-united-states/360-chicago-observation-deck
[2025-04-11T23:56:20.497+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/chicago-united-states/john-hancock-center
[2025-04-11T23:56:24.972+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/chicago-united-states/wrigley-field
[2025-04-11T23:56:29.591+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/chicago-united-states/field-museum-of-natural-history
[2025-04-11T23:56:34.186+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/chicago-united-states/lincoln-park
[2025-04-11T23:56:38.559+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/chicago-united-states/chicago-cultural-center
[2025-04-11T23:56:43.760+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/chicago-united-states/magnificent-mile
[2025-04-11T23:56:48.134+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/chicago-united-states/lakefront-trail
[2025-04-11T23:56:53.585+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/chicago-united-states/crown-fountain
[2025-04-11T23:56:58.903+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/chicago-united-states/united-center
[2025-04-11T23:57:02.570+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 2: https://www.triphobo.com/places/chicago-united-states/things-to-do?page=2
[2025-04-11T23:57:07.434+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-11T23:57:07.434+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/chicago-united-states/brookfield-zoo
[2025-04-11T23:57:12.961+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/chicago-united-states/driehaus-museum
[2025-04-11T23:57:17.878+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/chicago-united-states/chicago-riverwalk
[2025-04-11T23:57:22.213+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/chicago-united-states/chicago-loop
[2025-04-11T23:57:26.851+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/chicago-united-states/house-of-blues
[2025-04-11T23:57:31.305+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/chicago-united-states/kingston-mines
[2025-04-11T23:57:35.659+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/chicago-united-states/lake-michigan
[2025-04-11T23:57:40.722+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/chicago-united-states/symphony-center
[2025-04-11T23:57:45.040+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/chicago-united-states/macys
[2025-04-11T23:57:49.290+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/chicago-united-states/museum-of-contemporary-art-chicago
[2025-04-11T23:57:54.116+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/chicago-united-states/buddy-guys-legends
[2025-04-11T23:57:58.856+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/chicago-united-states/water-tower-place
[2025-04-11T23:58:02.937+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/chicago-united-states/grant-park
[2025-04-11T23:58:08.682+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/chicago-united-states/michigan-avenue-bridge
[2025-04-11T23:58:13.741+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/chicago-united-states/pritzker-military-museum-and-library
[2025-04-11T23:58:18.859+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 3: https://www.triphobo.com/places/chicago-united-states/things-to-do?page=3
[2025-04-11T23:58:23.668+0000] {things_to_do.py:86} INFO - 📄 Found 11 attraction links
[2025-04-11T23:58:23.669+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/11: https://www.triphobo.com/places/chicago-united-states/chicago-children-s-museum
[2025-04-11T23:58:27.998+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/11: https://www.triphobo.com/places/chicago-united-states/american-girl-place-chicago
[2025-04-11T23:58:32.551+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/11: https://www.triphobo.com/places/chicago-united-states/peggy-notebaert-nature-museum
[2025-04-11T23:58:36.717+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/11: https://www.triphobo.com/places/chicago-united-states/harold-washington-library-center-chicago-public-library
[2025-04-11T23:58:40.907+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/11: https://www.triphobo.com/places/chicago-united-states/dylan-s-candy-bar
[2025-04-11T23:58:45.649+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/11: https://www.triphobo.com/places/chicago-united-states/adagio-teas-chicago
[2025-04-11T23:58:50.408+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/11: https://www.triphobo.com/places/chicago-united-states/fox-in-a-box-chicago
[2025-04-11T23:58:55.567+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/11: https://www.triphobo.com/places/chicago-united-states/andersonville
[2025-04-11T23:58:59.580+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/11: https://www.triphobo.com/places/chicago-united-states/rockefeller-chapel
[2025-04-11T23:59:03.975+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/11: https://www.triphobo.com/places/chicago-united-states/flamingo
[2025-04-11T23:59:09.991+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/11: https://www.triphobo.com/places/chicago-united-states/lurie-garden
[2025-04-11T23:59:14.848+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 4: https://www.triphobo.com/places/chicago-united-states/things-to-do?page=4
[2025-04-11T23:59:20.073+0000] {things_to_do.py:86} INFO - 📄 Found 14 attraction links
[2025-04-11T23:59:20.074+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/14: https://www.triphobo.com/places/chicago-united-states/museum-of-broadcast-communications
[2025-04-11T23:59:24.591+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/14: https://www.triphobo.com/places/chicago-united-states/hyde-park
[2025-04-11T23:59:29.304+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/14: https://www.triphobo.com/places/chicago-united-states/900-north-michigan
[2025-04-11T23:59:33.514+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/14: https://www.triphobo.com/places/chicago-united-states/hull-house
[2025-04-11T23:59:39.240+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/14: https://www.triphobo.com/places/chicago-united-states/dusable-museum-of-african-american-history
[2025-04-11T23:59:44.432+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/14: https://www.triphobo.com/places/chicago-united-states/briar-street-theater
[2025-04-11T23:59:48.601+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/14: https://www.triphobo.com/places/chicago-united-states/aqua-tower
[2025-04-11T23:59:52.727+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/14: https://www.triphobo.com/places/chicago-united-states/newberry-library
[2025-04-11T23:59:58.239+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/14: https://www.triphobo.com/places/chicago-united-states/dana-hotel-spa
[2025-04-12T00:00:04.230+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/14: https://www.triphobo.com/places/chicago-united-states/smart-museum-of-art
[2025-04-12T00:00:22.163+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/14: https://www.triphobo.com/places/chicago-united-states/chicago-pedway
[2025-04-12T00:00:28.436+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/14: https://www.triphobo.com/places/chicago-united-states/chicago-distilling-company
[2025-04-12T00:00:43.531+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/14: https://www.triphobo.com/places/chicago-united-states/the-moody-church
[2025-04-12T00:00:49.213+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/14: https://www.triphobo.com/places/chicago-united-states/st-james-cathedral
[2025-04-12T00:00:53.948+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 5: https://www.triphobo.com/places/chicago-united-states/things-to-do?page=5
[2025-04-12T00:00:59.377+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-12T00:00:59.377+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/chicago-united-states/half-acre-beer-company
[2025-04-12T00:01:04.301+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/chicago-united-states/polish-museum-of-america
[2025-04-12T00:01:10.380+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/chicago-united-states/music-box-theatre
[2025-04-12T00:01:15.178+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/chicago-united-states/first-united-methodist-church-of-chicago
[2025-04-12T00:01:19.866+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/chicago-united-states/randolph-street-market
[2025-04-12T00:01:24.112+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/chicago-united-states/rosehill-cemetery
[2025-04-12T00:01:29.296+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/chicago-united-states/mccormick-tribune-ice-rink
[2025-04-12T00:01:34.740+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/chicago-united-states/elks-veterans-memorial
[2025-04-12T00:01:39.902+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/chicago-united-states/disney-store
[2025-04-12T00:01:44.310+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/chicago-united-states/agora-sculptures
[2025-04-12T00:01:48.772+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/chicago-united-states/galos-caves-spa
[2025-04-12T00:01:53.578+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/chicago-united-states/fisher-building
[2025-04-12T00:01:59.111+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/chicago-united-states/merchandise-mart
[2025-04-12T00:02:04.970+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/chicago-united-states/holy-name-cathedral
[2025-04-12T00:02:10.179+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/chicago-united-states/marina-city
[2025-04-12T00:02:15.216+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 6: https://www.triphobo.com/places/chicago-united-states/things-to-do?page=6
[2025-04-12T00:02:20.636+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-12T00:02:20.636+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/chicago-united-states/old-water-tower
[2025-04-12T00:02:26.927+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/chicago-united-states/christkindlmarket
[2025-04-12T00:02:31.519+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/chicago-united-states/loyola-university-museum-of-art
[2025-04-12T00:02:35.916+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/chicago-united-states/centennial-wheel
[2025-04-12T00:02:41.501+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/chicago-united-states/chicago-burger-company
[2025-04-12T00:02:46.193+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/chicago-united-states/east-lower-wacker-drive
[2025-04-12T00:02:50.805+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/chicago-united-states/five-faces-ice-cream-shop
[2025-04-12T00:02:55.774+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/chicago-united-states/taste-of-chicago
[2025-04-12T00:03:00.574+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/chicago-united-states/the-scout-waterhouse-kitchen
[2025-04-12T00:03:04.982+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/chicago-united-states/chicago-rockford-international-airport
[2025-04-12T00:03:09.611+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/place/adda/59772f505840d440270003ae
[2025-04-12T00:03:14.150+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/chicago-united-states/terra-museum-of-american-art
[2025-04-12T00:03:19.193+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/chicago-united-states/university-of-il-library
[2025-04-12T00:03:23.956+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/chicago-united-states/garfield-ridge-public-library
[2025-04-12T00:03:29.403+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/chicago-united-states/helen-brach-primate-house
[2025-04-12T00:03:34.415+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 7: https://www.triphobo.com/places/chicago-united-states/things-to-do?page=7
[2025-04-12T00:03:39.095+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-12T00:03:39.095+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/chicago-united-states/chicago-city-library
[2025-04-12T00:03:43.928+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/chicago-united-states/mobile-city-customers-with-disabilities
[2025-04-12T00:03:48.282+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/chicago-united-states/national-jazz-museum
[2025-04-12T00:03:54.201+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/chicago-united-states/mccormick-freedom-project
[2025-04-12T00:03:59.365+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/chicago-united-states/joseph-g-stromberg-library
[2025-04-12T00:04:03.707+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/chicago-united-states/driehaus-enterprise-management
[2025-04-12T00:04:08.082+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/chicago-united-states/health-science-library
[2025-04-12T00:04:12.143+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/chicago-united-states/rogers-park-historical-society
[2025-04-12T00:04:16.123+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/chicago-united-states/galewood-mont-clare-library
[2025-04-12T00:04:20.274+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/chicago-united-states/chicago-maritime-museum
[2025-04-12T00:04:24.423+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/chicago-united-states/vivian-g-harsh-society
[2025-04-12T00:04:28.532+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/chicago-united-states/sackrider-museum-of-handbags
[2025-04-12T00:04:32.818+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/chicago-united-states/inventing-lab-chicago-childrens-museum
[2025-04-12T00:04:37.374+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/chicago-united-states/james-p-fitzgibbons-hstrcl-msm
[2025-04-12T00:04:42.636+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/chicago-united-states/chicago-academy-of-sciences
[2025-04-12T00:04:46.983+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 8: https://www.triphobo.com/places/chicago-united-states/things-to-do?page=8
[2025-04-12T00:04:52.298+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-12T00:04:52.298+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/chicago-united-states/city-of-chicago-board-of-elections-whitney-young-l
[2025-04-12T00:04:56.561+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/chicago-united-states/museum-africa
[2025-04-12T00:05:00.741+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/chicago-united-states/library-media-project
[2025-04-12T00:05:05.146+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/chicago-united-states/chinatown-library
[2025-04-12T00:05:13.533+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/chicago-united-states/benjamin-b-green-field-natl
[2025-04-12T00:05:17.767+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/chicago-united-states/nat-l-italian-amer-sports-hll-of-fm
[2025-04-12T00:05:21.956+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/chicago-united-states/midwest-library
[2025-04-12T00:05:27.398+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/chicago-united-states/galeria-gala
[2025-04-12T00:05:32.332+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/chicago-united-states/fine-art-portraiture
[2025-04-12T00:05:36.606+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/chicago-united-states/joseph-brennemann-library
[2025-04-12T00:05:41.500+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/chicago-united-states/lewison-memorial-library
[2025-04-12T00:05:47.149+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/chicago-united-states/kovler-sea-lion-house
[2025-04-12T00:05:51.321+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/chicago-united-states/association-for-library-service-to-child
[2025-04-12T00:05:55.805+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/chicago-united-states/associated-library-service
[2025-04-12T00:05:59.961+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/chicago-united-states/museum-campus-bike-park-chicago
[2025-04-12T00:06:07.630+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 9: https://www.triphobo.com/places/chicago-united-states/things-to-do?page=9
[2025-04-12T00:06:12.664+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-12T00:06:12.664+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/chicago-united-states/the-capo-museum
[2025-04-12T00:06:16.875+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/chicago-united-states/ray-cosgrove-library
[2025-04-12T00:06:21.611+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/chicago-united-states/chicago-athenaeum-museum-of-architecture-and-design
[2025-04-12T00:06:25.852+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/chicago-united-states/ravenswood-lake-view-hist-asso
[2025-04-12T00:06:30.064+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/chicago-united-states/egg
[2025-04-12T00:06:34.152+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/chicago-united-states/hands-on-children-s-art-museum
[2025-04-12T00:06:38.265+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/chicago-united-states/volo-auto-museum
[2025-04-12T00:06:42.977+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/chicago-united-states/mexican-museum-of-culture
[2025-04-12T00:06:47.835+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/chicago-united-states/360-chicago-in-chicago-united-states
[2025-04-12T00:06:53.043+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/chicago-united-states/indo-american-heritage-museum
[2025-04-12T00:06:57.188+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/chicago-united-states/city-chicago-board-elections
[2025-04-12T00:07:02.106+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/chicago-united-states/west-addison-library
[2025-04-12T00:07:07.105+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 13/15: https://www.triphobo.com/places/chicago-united-states/chicago-baseball-museum
[2025-04-12T00:07:11.149+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 14/15: https://www.triphobo.com/places/chicago-united-states/sulzer-library-security-post
[2025-04-12T00:07:15.567+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 15/15: https://www.triphobo.com/places/chicago-united-states/chicago-maritime-society
[2025-04-12T00:07:19.657+0000] {things_to_do.py:83} INFO - 🌐 Scraping page 10: https://www.triphobo.com/places/chicago-united-states/things-to-do?page=10
[2025-04-12T00:07:23.784+0000] {things_to_do.py:86} INFO - 📄 Found 15 attraction links
[2025-04-12T00:07:23.784+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 1/15: https://www.triphobo.com/places/chicago-united-states/city-of-chicago-board-of-elections
[2025-04-12T00:07:28.609+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 2/15: https://www.triphobo.com/places/chicago-united-states/santa-s-library
[2025-04-12T00:07:33.053+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 3/15: https://www.triphobo.com/places/chicago-united-states/galleria-773
[2025-04-12T00:07:37.262+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 4/15: https://www.triphobo.com/places/chicago-united-states/city-of-chicago-central-library-main-branch-harold-washington-library-center
[2025-04-12T00:07:42.180+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 5/15: https://www.triphobo.com/places/chicago-united-states/chicago-aquarium-consulting
[2025-04-12T00:07:47.612+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 6/15: https://www.triphobo.com/places/chicago-united-states/thomas-hughes-children-s-lbrry
[2025-04-12T00:07:52.244+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 7/15: https://www.triphobo.com/places/chicago-united-states/appellate-court-library
[2025-04-12T00:07:56.570+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 8/15: https://www.triphobo.com/places/chicago-united-states/chicago-blues-museum-gallery
[2025-04-12T00:08:02.540+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 9/15: https://www.triphobo.com/places/chicago-united-states/chicago-library-for-the-blind
[2025-04-12T00:08:06.994+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 10/15: https://www.triphobo.com/places/chicago-united-states/museum-pointe
[2025-04-12T00:08:12.180+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 11/15: https://www.triphobo.com/places/chicago-united-states/chicago-discus
[2025-04-12T00:08:16.522+0000] {things_to_do.py:90} INFO - 🔍 Scraping place 12/15: https://www.triphobo.com/places/chicago-united-states/all-moxie
